"site";"decor";"id";"type";"technlg";"incmplt";"geometry"
"EAMENA-0192679";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.36275 32.18226, 57.36277 32.18218, 57.36273 32.18215, 57.36275 32.1821, 57.36291 32.18216, 57.36285 32.1823, 57.36275 32.18226))"
"EAMENA-0192680";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.14913 32.98105, 59.14894 32.981, 59.14901 32.98078, 59.14922 32.98084, 59.14913 32.98105))"
"EAMENA-0192681";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.57402 36.02837, 59.57465 36.02819, 59.57481 36.02864, 59.57419 36.02877, 59.57402 36.02837))"
"EAMENA-0192664";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.942 33.45024, 56.94172 33.45026, 56.94169 33.45, 56.94205 33.44998, 56.942 33.45024))"
"EAMENA-0192666";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.90069 35.60253, 58.90039 35.60275, 58.90004 35.60254, 58.90038 35.6023, 58.90069 35.60253))"
"EAMENA-0192667";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.87758 35.58694, 58.87777 35.58679, 58.87795 35.58696, 58.87779 35.58711, 58.87758 35.58694))"
"EAMENA-0192655";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.3037 35.84179, 58.30358 35.84173, 58.30365 35.84164, 58.30362 35.84159, 58.30371 35.84151, 58.30376 35.84153, 58.30386 35.84147, 58.3041 35.84164, 58.30382 35.84188, 58.3037 35.84179))"
"EAMENA-0192656";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.80097 32.57116, 59.80062 32.57109, 59.80074 32.57078, 59.8011 32.57085, 59.80097 32.57116))"
"EAMENA-0192657";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.55827 33.01925, 59.55856 33.01893, 59.55895 33.019, 59.55869 33.01942, 59.55827 33.01925))"
"EAMENA-0192658";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.2382 34.16297, 58.23813 34.16306, 58.23787 34.16293, 58.23809 34.16266, 58.23835 34.16279, 58.2382 34.16297))"
"EAMENA-0192659";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.34999 34.78936, 58.35024 34.78918, 58.35046 34.78937, 58.35023 34.78955, 58.34999 34.78936))"
"EAMENA-0192660";"crvn";1;"caravanserail";"-";0;"POLYGON ((60.49984 32.28664, 60.49979 32.2868, 60.49971 32.28677, 60.49964 32.28681, 60.49947 32.28673, 60.49959 32.28656, 60.49984 32.28664))"
"EAMENA-0192675";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.01128 33.19071, 59.01142 33.19069, 59.01151 33.19077, 59.01172 33.19077, 59.01168 33.19093, 59.01128 33.19093, 59.01128 33.19071))"
"EAMENA-0192676";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.22305 33.3037, 59.22283 33.30356, 59.22301 33.30333, 59.22332 33.30347, 59.22305 33.3037))"
"EAMENA-0192677";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.10753 33.10571, 59.10784 33.10555, 59.10797 33.10579, 59.10763 33.10596, 59.10753 33.10571))"
"EAMENA-0192668";"crvn";1;"caravanserail";"-";0;"POLYGON ((60.81488 34.90737, 60.8155 34.90716, 60.81589 34.90781, 60.81527 34.90801, 60.81488 34.90737))"
"EAMENA-0192669";"crvn";1;"caravanserail";"-";0;"POLYGON ((60.08966 31.55779, 60.08955 31.55786, 60.08943 31.5578, 60.08947 31.55776, 60.08954 31.55771, 60.08955 31.55768, 60.08958 31.55763, 60.08955 31.55756, 60.08951 31.5575, 60.08948 31.5574, 60.08947 31.55739, 60.08946 31.55737, 60.0895 31.55731, 60.08957 31.55726, 60.08966 31.55722, 60.08975 31.55721, 60.08982 31.55723, 60.08986 31.55726, 60.08992 31.5573, 60.08996 31.55736, 60.08999 31.55745, 60.08991 31.55756, 60.08982 31.55765, 60.08977 31.55769, 60.08973 31.55771, 60.08967 31.55775, 60.08966 31.55779))"
"EAMENA-0192670";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.30594 33.78409, 59.30597 33.7839, 59.30626 33.78394, 59.30622 33.78412, 59.30594 33.78409))"
"EAMENA-0192661";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.87853 32.77612, 58.8787 32.77578, 58.8793 32.77607, 58.8791 32.77632, 58.87853 32.77612))"
"EAMENA-0192663";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.77607 33.57458, 59.77631 33.57427, 59.77657 33.57438, 59.77637 33.57469, 59.77607 33.57458))"
"EAMENA-0192639";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.99285 34.75619, 59.99294 34.756, 59.99318 34.75608, 59.99309 34.75627, 59.99285 34.75619))"
"EAMENA-0192640";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.85 31.56928, 56.85025 31.56909, 56.85047 31.56933, 56.8502 31.56952, 56.85 31.56928))"
"EAMENA-0192641";"crvn";1;"caravanserail";"-";0;"POLYGON ((60.55784 34.55986, 60.55826 34.55984, 60.55828 34.56022, 60.55783 34.56024, 60.55784 34.55986))"
"EAMENA-0192642";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.17868 36.02327, 59.1788 36.02322, 59.17891 36.02315, 59.17898 36.02318, 59.17907 36.02326, 59.17917 36.02327, 59.1793 36.02315, 59.17941 36.02319, 59.17961 36.02331, 59.17972 36.02348, 59.1796 36.02353, 59.17933 36.02359, 59.17927 36.02348, 59.1792 36.02354, 59.17916 36.02359, 59.17898 36.02369, 59.17886 36.02368, 59.17872 36.02364, 59.17856 36.02375, 59.17836 36.02361, 59.17852 36.02345, 59.17838 36.02332, 59.17813 36.02311, 59.17805 36.02314, 59.17799 36.02307, 59.17815 36.02286, 59.17868 36.02327))"
"EAMENA-0192646";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.21774 35.4704, 59.21821 35.47003, 59.21846 35.47022, 59.21795 35.47064, 59.21774 35.4704))"
